"hospital_id","year","state","g","p","charity_care","uninsured_cost","medicaid_mix","hospital_ownership_type"
20001,2011,"alaska",2015,1,0.0210143364881806,0.0180482998325164,0.146086400260793,"non-profit"
20017,2011,"alaska",2015,0,0.0210143364881806,0.0180482998325164,0.146086400260793,"for-profit"
20001,2012,"alaska",2015,1,0.0385721357306537,0.016878293163455,0.145487576386196,"non-profit"
20017,2012,"alaska",2015,0,0.0385721357306537,0.016878293163455,0.145487576386196,"for-profit"
20001,2013,"alaska",2015,1,0.0402826324026087,0.0124506238771814,0.14423598540286,"non-profit"
20017,2013,"alaska",2015,0,0.0402826324026087,0.0124506238771814,0.14423598540286,"for-profit"
20001,2014,"alaska",2015,1,0.0429582181612082,0.0160843505680136,0.15285599442837,"non-profit"
20017,2014,"alaska",2015,0,0.0429582181612082,0.0160843505680136,0.15285599442837,"for-profit"
20001,2015,"alaska",2015,1,0.0422603599971093,0.0125001579252616,0.169376911162822,"non-profit"
20017,2015,"alaska",2015,0,0.0422603599971093,0.0125001579252616,0.169376911162822,"for-profit"
20001,2016,"alaska",2015,1,0.0137730918655789,0.00885421939360773,0.244064580015794,"non-profit"
20017,2016,"alaska",2015,0,0.0137730918655789,0.00885421939360773,0.244064580015794,"for-profit"
20001,2017,"alaska",2015,1,0.0247171314746095,0.00597990797879767,0.271954945917567,"non-profit"
20017,2017,"alaska",2015,0,0.0247171314746095,0.00597990797879767,0.271954945917567,"for-profit"
20001,2018,"alaska",2015,1,0.0223411831908641,0.00531230774745993,0.246883017424051,"non-profit"
20017,2018,"alaska",2015,0,0.0223411831908641,0.00531230774745993,0.246883017424051,"for-profit"
20001,2019,"alaska",2015,1,0.021125955314921,0.00425501039835287,0.255537158131509,"non-profit"
20017,2019,"alaska",2015,0,0.021125955314921,0.00425501039835287,0.255537158131509,"for-profit"
20001,2020,"alaska",2015,1,0.0160146685066547,0.00638985253639692,0.250894339762233,"non-profit"
20017,2020,"alaska",2015,0,0.0160146685066547,0.00638985253639692,0.250894339762233,"for-profit"
20001,2021,"alaska",2015,1,0.0157989486724778,0.00323382201413459,0.25782908653805,"non-profit"
20017,2021,"alaska",2015,0,0.0157989486724778,0.00323382201413459,0.25782908653805,"for-profit"
20001,2022,"alaska",2015,1,0.0185440857818445,0.00486974602124068,0.260741372407556,"non-profit"
20017,2022,"alaska",2015,0,0.0185440857818445,0.00486974602124068,0.260741372407556,"for-profit"
20001,2023,"alaska",2015,1,0.0210882445091269,0.0040946477592538,0.230163314068396,"non-profit"
20017,2023,"alaska",2015,0,0.0210882445091269,0.0040946477592538,0.230163314068396,"for-profit"
20012,2011,"alaska",2015,1,0.0176581364090099,0.0457914354285866,0.10837876863084,"non-profit"
20012,2012,"alaska",2015,1,0.0208352578557293,0.0697167095320589,0.104631264853548,"non-profit"
20012,2013,"alaska",2015,1,0.0131467017196435,0.055726918809033,0.114826719093878,"non-profit"
20012,2014,"alaska",2015,1,0.0134179331914166,0.0700782647866125,0.115384923887438,"non-profit"
20012,2015,"alaska",2015,1,0.00955791586484847,0.0460205505640018,0.123853666611029,"non-profit"
20012,2016,"alaska",2015,1,0.00413856724555733,0.0368672896927055,0.180521516019149,"non-profit"
20012,2017,"alaska",2015,1,0.00428501096305653,0.0316831655127492,0.205283868420592,"non-profit"
